"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"Primary_0125"	"Primary_0184"	"Primary_0190"	"Primary_0210"	"Primary_0211"
"HALLMARK_E2F_TARGETS"	3.50699864875475e-19	9.16319223618932	1.95075448782531e-83	9.75377243912656e-82	198	2.05423317493843e-27	2.98465871313389e-10	1.65959496872213e-17	6.25476300513038e-12	1.72708679039075e-28
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	4.38817528141995e-14	7.59188534194017	1.82353047177764e-58	4.5588261794441e-57	198	3.69182791552638e-11	3.80978880511275e-11	3.34949900966056e-26	1.07205306791272e-13	2.01881315059654e-07
"HALLMARK_G2M_CHECKPOINT"	2.59484500261793e-13	7.26259093924335	5.29121420395519e-55	8.81869033992531e-54	198	1.13193158168877e-19	1.62496762466619e-05	1.38014764017096e-12	8.07994169729568e-09	8.11526211740504e-20
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	7.58703695731834e-13	7.08960527875811	7.44505390582022e-53	9.30631738227528e-52	196	1.8718609740588e-06	1.08420479422393e-17	1.36463196400601e-19	5.76359856668634e-12	8.02736462100835e-08
"HALLMARK_MYC_TARGETS_V1"	2.47930094329544e-10	6.28598456901762	1.10391320987306e-42	1.10391320987306e-41	198	8.19351246831078e-12	4.64139042154825e-07	1.15368337239567e-08	1.15506137746227e-07	2.60004087686974e-16
"HALLMARK_ALLOGRAFT_REJECTION"	8.00650765974171e-09	5.49441538873579	3.30651339152791e-33	2.75542782627326e-32	194	0.00317943329981233	6.35977363259495e-11	2.03122363801892e-14	4.20574270582971e-10	5.61189978557063e-05
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	2.57113645139174e-10	5.44726795852437	1.1324552486175e-31	8.08896606155361e-31	197	6.21681713570204e-05	1.15636257581598e-06	7.4174052215158e-23	3.30732737527365e-10	0.0612773422290103
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	4.0565784563148e-07	4.89901151335834	4.17057699560569e-26	2.60661062225356e-25	95	0.000923059870667322	1.1092928497352e-11	3.76647993620293e-09	5.67070530689212e-05	2.64118905903191e-05
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	9.24303344078033e-07	4.73631229306015	2.06514868200592e-24	1.14730482333662e-23	85	0.00289574178887152	3.42140827253375e-07	6.2107354730683e-11	5.04643511927001e-08	0.00077889080632514
"HALLMARK_COAGULATION"	5.93806186160225e-06	4.37240486897172	6.80887847522685e-22	3.40443923761343e-21	133	0.000666554414527156	3.05537561282242e-07	1.44713109452838e-08	4.84000382613796e-06	0.000749712913771192
"HALLMARK_HYPOXIA"	3.92255624365275e-06	4.12582307937036	7.79316116474323e-20	3.54234598397419e-19	199	0.000193984926821328	4.68401206863278e-05	4.68497327682073e-10	6.36349195114634e-09	0.170725447702977
"HALLMARK_INFLAMMATORY_RESPONSE"	2.17895634455312e-06	4.09817877239425	1.83892401905595e-19	7.66218341273312e-19	196	0.0632563688948917	1.1222612019813e-06	2.79921709744977e-12	6.50596707741836e-08	0.0572645043509098
"HALLMARK_ANGIOGENESIS"	7.37957346126386e-05	4.04451954016225	1.63466987981572e-17	6.28719184544506e-17	36	0.000119470133133404	0.000342861459495154	1.07092473448453e-05	3.5375299462853e-05	0.000176959727888512
